SQL:
====
select a.*, c.Type, c.Exchange, c.Name from
(select Symbol, ROUND(AVG([low]*[volume])/1000000,0) Turnover, AVG(TradeCount)/1000 TradeCountThs
from DayPolygon 
where year(date) between 2020 and 2025
and [close]>=5 and [low]*[volume]>=50000000 and TradeCount>=10000
group by symbol
having count(*)=1508) a
left join splits b on a.Symbol=b.Symbol and year(b.date) between 2020 and 2025
inner join SymbolsPolygon c on a.Symbol=c.Symbol and c.[To] is null and c.IsTest is null
where b.Symbol is null

Symbol	Turnover	TradeCountThs	Type	Exchange	Name
VZ	911	113	CS	XNYS	VERIZON COMMUNICATIONS
WDAY	479	37	CS	XNAS	Workday, Inc. Class A Common Stock
WFC	1084	141	CS	XNYS	Wells Fargo & Co.
WMB	263	56	CS	XNYS	Williams Companies Inc.
WYNN	265	39	CS	XNAS	WYNN RESORTS LTD
XBI	826	90	ETF	ARCX	State Street SPDR S&P Biotech ETF
XLF	1833	95	ETF	ARCX	State Street Financial Select Sector SPDR ETF
XLI	1150	94	ETF	ARCX	State Street Industrial Select Sector SPDR ETF
XLP	907	65	ETF	ARCX	State Street Consumer Staples Select Sector SPDR ETF
XLV	1273	90	ETF	ARCX	State Street Health Care Select Sector SPDR ETF
XOM	1701	160	CS	XNYS	Exxon Mobil Corporation
ZM	851	74	CS	XNAS	Zoom Communications, Inc. Class A Common Stock
ZS	399	38	CS	XNAS	Zscaler, Inc. Common Stock
